tieu_de,gia,gia_hien_thi,gia_m2,dien_tich,huong_nha,huong_ban_cong,noi_that,phap_ly,ten_du_an,so_phong,so_wc,duong,phuong,quan,thanh_pho,latitude,longitude,khoang_cach_q1_km,ngay_dang,nguoi_ban,loai_tin,link
"Bán Căn Hộ  Tara Residence Quận 8, Dt : 74 m2, 2PN, 3.8 tỷ/căn",3800000000,"3,8 tỷ",51.351353,74,,,2.0,2,Tara Residence,2,2.0,Tạ Quang Bửu,Phường 6,Quận 8,Tp Hồ Chí Minh,10.73488,106.66169,6.2,2025-12-23,Nguyễn Phương,s,https://www.chotot.com/124941052.htm
The Win city - sổ hồng vĩnh viễn - trả trước 20% ngưng đến khi nhận nh,1450000000,"1,45 tỷ",29.0,50,,,,5,,2,,Đường Tỉnh lộ 10,Xã Lê Minh Xuân,Huyện Bình Chánh,Tp Hồ Chí Minh,10.761773,106.570145,14.31,2025-12-23,Nguyễn Thị Hậu,s,https://www.chotot.com/129645556.htm
Chính chủ bán căn hộ Carina plaza giá từ 3 tỷ,3000000000,3 tỷ,34.88372,86,3.0,1.0,3.0,6,Carina Plaza,2,2.0,Đại Lộ Đông Tây,Phường 16,Quận 8,Tp Hồ Chí Minh,10.74429,106.65064,6.46,2025-12-23,NGUYỄN LÊ DIỄM TRANG,s,https://www.chotot.com/129864085.htm
"Bán căn hộ Cao Cấp Sunrise Cityview 1PN full nội thất, DTSD 48m2",3200000000,"3,2 tỷ",66.666664,48,,,1.0,4,Sunrise CityView,1,1.0,Nguyễn Hữu Thọ,Phường Tân Hưng,Quận 7,Tp Hồ Chí Minh,10.74367,106.70149,3.56,2025-12-23,Quan Thanh Nhật Vy,s,https://www.chotot.com/129595020.htm
"🍀CHÍNH CHỦ BÁN 2PN EMERALD, NHÀ MỚI, FULL NỘI THẤT ĐẸP, VIEW MÁT MẺ🍀",4550000000,"4,55 tỷ",72.22222,63.0,,,2.0,5,Emerald Precinct,2,1,N1,Phường Sơn Kỳ,Quận Tân Phú,Tp Hồ Chí Minh,10.80371,106.62253,9.06,2025-12-23,Dương Đăng Phúc,s,https://www.chotot.com/129837318.htm
"Bán căn hộ green river 2 phòng ngủ 2wc dt65m2 quận 8, gần quận 5,10.",2600000000,"2,6 tỷ",40.0,65.0,,,3.0,2,Green River - Quận 8,2,2,Phạm Thế Hiển,Phường 6,Quận 8,Tp Hồ Chí Minh,10.73289,106.64306,7.87,2025-12-23,Khangphuc,s,https://www.chotot.com/129470874.htm
[SỔ HỒNG] Bán căn góc 2PN TARA RESIDENCE mặt tiền Tạ Quang Bửu.View Q1,3900000000,"3,9 tỷ",54.166668,72.0,,,,6,Tara Residence,2,2,Tạ Quang Bửu,Phường 6,Quận 8,Tp Hồ Chí Minh,10.73488,106.66169,6.2,2025-12-23,Lee  Ngoc Diem,s,https://www.chotot.com/129808055.htm
"Cần bán căn hộ Bông Sao Quận 8, DT : 66 m2, 2PN, : 3.1 tỉ/căn",3150000000,"3,15 tỷ",47.727272,66.0,,,2.0,6,Chung cư Bông Sao,2,2,Tạ Quang Bửu,Phường 6,Quận 8,Tp Hồ Chí Minh,10.73175,106.64951,7.4,2025-12-23,Nguyễn Phương,s,https://www.chotot.com/129637707.htm
"Citisoho 2PN bán nhanh giá 2,8 tỷ",2800000000,"2,8 tỷ",51.851852,54.0,,,,6,Citi Soho,2,2,Cát Lái,Phường Cát Lái (Quận 2 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.76445,106.79444,10.35,2025-12-23,Việt Thanh,s,https://www.chotot.com/128905181.htm
"Em chuyên CH Ricca Quận 9, tk 1pn+, giá tốt  Tháng 12/2025, giá 2 tỷ 2",2200000000,"2,2 tỷ",44.0,50.0,,,,6,Ricca,1,1,D7,Phường Phú Hữu (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.78716,106.8018,11.15,2025-12-23,Giang Nguyễn,s,https://www.chotot.com/123899720.htm
