tieu_de,gia,gia_hien_thi,gia_m2,dien_tich,huong_nha,huong_ban_cong,noi_that,phap_ly,ten_du_an,so_phong,so_wc,duong,phuong,quan,thanh_pho,latitude,longitude,khoang_cach_q1_km,ngay_dang,nguoi_ban,loai_tin,link
"Bán căn Studio, SHR, sẵn nội thất đẹp, view hồ bơi, hướng mát",2105000000,"2,105 tỷ",63.78788,33,,6.0,2.0,6,The Origami – Vinhomes Grand Park,1,1.0,Nguyễn Xiển,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.8454,106.81972,15.16,2025-12-22,DUY HOMES,s,https://www.chotot.com/129799311.htm
Căn hộ 2 phòng ngủ - lầu 2 - 40m2 - nhỉnh 2 tỉ,2150000000,"2,15 tỷ",53.75,40,,,2.0,6,,2,,Đường Nơ Trang Long,Phường 13,Quận Bình Thạnh,Tp Hồ Chí Minh,10.818509,106.698944,4.77,2025-12-22,Giang,s,https://www.chotot.com/129823723.htm
PKD Sài Gòn Mia bán căn hộ 1PN 2PN 3PN 3ty-5ty3 full nội thất,4500000000,"4,5 tỷ",68.181816,66,,,2.0,5,Saigon Mia,2,2.0,Trung Sơn,Xã Bình Hưng,Huyện Bình Chánh,Tp Hồ Chí Minh,10.73786,106.68984,4.36,2025-12-22,ngọc thảo,s,https://www.chotot.com/128104325.htm
BÁN CĂN 2 phòng ngủ. NGAY PHÚ MỸ HƯNG.GIÁ CHỈ BẰNG MỘT NỬA,5950000000,"5,95 tỷ",79.333336,75,2.0,6.0,3.0,5,Sunshine Sky City,2,2.0,7,Phường Tân Phú,Quận 7,Tp Hồ Chí Minh,10.72619,106.7246,6.1,2025-12-22,Đại Nghĩa,s,https://www.chotot.com/129748843.htm
"BÁN CÁC CĂN 3PN2WC RICHMOND CITY, GIÁ TỐT 6TỶ",6000000000,6 tỷ,69.76744,86,,,1.0,6,Richmond City,3,2.0,"Số 207 Số 207 Nguyễn Xí, phường 26, quận Bình Thạnh, Tp.HCM",Phường 26,Quận Bình Thạnh,Tp Hồ Chí Minh,10.81631,106.70645,4.57,2025-12-22,Nguyễn Phương Uyên,s,https://www.chotot.com/127487593.htm
RẤT THIỆN CHÍ BÁN MASTERI THẢO ĐIỀN (CÒN THƯƠNG LƯỢNG) 2PN2WC 7.5 TỶ,7500000000,"7,5 tỷ",107.14286,70,,,,6,Masteri Thảo Điền,2,2.0,Xa Lộ Hà Nội,Phường Thảo Điền (Quận 2 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.80134,106.73999,5.18,2025-12-22,Nghị Uyên,s,https://www.chotot.com/127537823.htm
"Căn Hộ Cao Cấp Asiana Capella - 3 căn: 43m2, 61m2, 67m2 - Từ 2,850 Tỷ",2580000000,"2,58 tỷ",60.0,43,,,,2,Asiana Capella,2,,Trần Văn Kiểu,Phường 10,Quận 6,Tp Hồ Chí Minh,10.73729,106.62718,9.07,2025-12-22,Nam Ly,s,https://www.chotot.com/129804076.htm
"PROSPER 54M2 2PN 2WC GIÁ CHỈ Từ 2,5 ty",2500000000,"2,5 tỷ",46.296295,54,,,,5,Prosper Plaza,2,2.0,Phan Văn Hớn,Phường Tân Thới Nhất,Quận 12,Tp Hồ Chí Minh,10.82954,106.61561,11.03,2025-12-22,ledinhduong,s,https://www.chotot.com/124469271.htm
"CẦN BÁN MASTERI THẢO ĐIỀN, CÓ SỔ HỒNG, NGAY METRO 2PN",7500000000,"7,5 tỷ",107.14286,70,,,,6,Masteri Thảo Điền,2,,Xa Lộ Hà Nội,Phường Thảo Điền (Quận 2 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.80134,106.73999,5.18,2025-12-22, Nhật Hạ,s,https://www.chotot.com/127532499.htm
"CHỈ 2.95 TỶ MUA ĐƯỢC CĂN HỘ CAO CẤP 2PN, PICITY QUẬN 12.",2950000000,"2,95 tỷ",50.86207,58,,,2.0,2,PiCity High Park,2,1.0,Thạnh Xuân 13,Phường Thạnh Xuân,Quận 12,Tp Hồ Chí Minh,10.87865,106.67743,11.72,2025-12-22,Phạm Châu,s,https://www.chotot.com/129811067.htm
"CĂN HỘ 3PN (96M2) NGAY AN DƯƠNG VƯƠNG  _
GIÁ CHỈ 3.7 TỶ",3700000000,"3,7 tỷ",38.541668,96,,,1.0,6,,3,,Đường An Dương Vương,Phường 10,Quận 6,Tp Hồ Chí Minh,10.737967,106.62201,9.54,2025-12-22,Thoa Hà ,s,https://www.chotot.com/129824280.htm
bán cc tây thạnh lầu 4 dt 72m 2p 2vs giá 2.5ty,2500000000,"2,5 tỷ",34.72222,72,1.0,2.0,,6,,2,2.0,C4,Phường Tây Thạnh,Quận Tân Phú,Tp Hồ Chí Minh,10.812291,106.62618,9.08,2025-12-22,Linh,s,https://www.chotot.com/129835871.htm
"Căn hộ gần chợ Bình Chánh chỉ 1.3 tỷ căn 4 hồ bơi, chỉ 10% sở hữu ngay",1300000000,"1,3 tỷ",32.5,40,,,,5,,1,,Đường Quốc lộ 1,Xã Bình Chánh,Huyện Bình Chánh,Tp Hồ Chí Minh,10.66572,106.57101,18.69,2025-12-22,Hồng,s,https://www.chotot.com/128221635.htm
Cần bán gấp căn hộ 2pn2wc 67m2 sổ sẵn view thoáng,3250000000,"3,25 tỷ",48.50746,67,8.0,5.0,2.0,6,Vinhomes Grand Park,2,2.0,Nguyễn Xiển,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.8454,106.81972,15.16,2025-12-22,NGUYỄN ,s,https://www.chotot.com/129771740.htm
🔥 BÁN NHANH CĂN HỘ CAO CẤP ORIENTAL PLAZA 3PN-2WC – 685 ÂU CƠ TÂN PHÚ,4850000000,"4,85 tỷ",57.738094,84,,,1.0,6,Oriental Plaza (Âu Cơ Tower),3,2.0,Âu Cơ,Phường Tân Thành,Quận Tân Phú,Tp Hồ Chí Minh,10.78972,106.64026,6.76,2025-12-22,Lê Thư,s,https://www.chotot.com/129819143.htm
Căn hộ 30m Millenium giá 3 tỉ sắn Hdt,3000000000,3 tỷ,100.0,30.0,,,2.0,2,Masteri Millennium,1,1.0,Bến Vân Đồn,Phường 6,Quận 4,Tp Hồ Chí Minh,10.76365,106.69964,1.34,2025-12-22,linh nguyễn,s,https://www.chotot.com/129821682.htm
CHÍNH CHỦ BÁN MASTERI LUMIERE BOULEVAD . Lh ***,3850000000,"3,85 tỷ",71.296295,54.0,7.0,6.0,3.0,5,Lumiere Boulevard,1,1.0,Nguyễn Xiển,Phường Long Bình (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.89186,106.83415,19.5,2025-12-22,NGUYỄN SƠN ,s,https://www.chotot.com/129642923.htm
BÁN 2PN 2WC SẴN SỔ HỒNG FULL NỘI THẤT TẠI AKARI CITY,4300000000,"4,3 tỷ",57.333332,75.0,,,1.0,6,Akari City,2,2.0,Võ Văn Kiệt,Phường An Lạc,Quận Bình Tân,Tp Hồ Chí Minh,10.72262,106.61204,11.31,2025-12-22,Võ Thị Minh Trang,s,https://www.chotot.com/129816274.htm
"Căn hộ 35 m2, 1 PN, đường Trần Bình Trọng, P. Chợ Lớn (Quận 5 cũ).",1900000000,"1,9 tỷ",54.285713,35.0,,,,6,,1,1.0,Tình Tro ,Phường 1,Quận 5,Tp Hồ Chí Minh,10.75233,106.68221,3.27,2025-12-22,Nguyễn Thị Thu Hiền,s,https://www.chotot.com/129823968.htm
Bán CHDV chính chủ 16 phòng mới xây ngay trung tâm Gò Vấp,15550000000,"15,55 tỷ",118.88379,130.8,,,,6,,11,,Đường số 1,Phường 16,Quận Gò Vấp,Tp Hồ Chí Minh,10.8462715,106.66036,8.99,2025-12-22,Kim Anh ,s,https://www.chotot.com/129732709.htm
BÁN NHANH CĂN 3PN VINHOMES LANDMARK NỘI THẤT CAO CẤP,12000000000,12 tỷ,100.0,120.0,,,,6,Vinhomes Central Park,3,2.0,Nguyễn Hữu Cảnh,Phường 22,Quận Bình Thạnh,Tp Hồ Chí Minh,10.79387,106.72032,2.97,2025-12-22,VINHOMES VINH,s,https://www.chotot.com/128877194.htm
"Bán chung cư Thế Kỷ 21 , dt 86m2 2pn 2wc căn góc 2 BAN CÔNG",5500000000,"5,5 tỷ",63.953487,86.0,,,3.0,6,Chung cư Thế Kỷ 21,2,2.0,Ung Văn Khiêm,Phường 25,Quận Bình Thạnh,Tp Hồ Chí Minh,10.80224,106.72245,3.81,2025-12-22,Nguyễn trần Tuấn ,s,https://www.chotot.com/129835046.htm
Bán căn hộ 3pn2wc Topaz Elite 90m2 Full Nt giá 4ty2,4200000000,"4,2 tỷ",46.666668,90.0,,,,5,Topaz Elite,3,2.0,Cao Lỗ,Phường 4,Quận 8,Tp Hồ Chí Minh,10.73904,106.67821,4.74,2025-12-22,Long,s,https://www.chotot.com/123544800.htm
"Cam kết giá tốt: 50m²-65m² giá từ 2,53 tỷ",2530000000,"2,53 tỷ",50.6,50.0,,,,6,Prosper Plaza,2,2.0,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",Phường Tân Thới Nhất,Quận 12,Tp Hồ Chí Minh,10.82954,106.61561,11.03,2025-12-22,Nguyễn Trọng Vũ,s,https://www.chotot.com/110635688.htm
Bán  Căn Hộ chung cư Khang Gia Gò Vấp giá 2 tỷ 950 triệu có sổ hồng,2950000000,"2,95 tỷ",41.549297,71.0,,,,6,Căn hộ Khang Gia Gò Vấp,2,2.0,Số 45,Phường 14,Quận Gò Vấp,Tp Hồ Chí Minh,10.8431,106.63781,10.15,2025-12-22,Thanh Trúc,s,https://www.chotot.com/129834646.htm
"Bán căn 2 phòng ngủ ,2WC ,rộng 105 m2 hướng Nam, view Võ Văn Kiệt",3550000000,"3,55 tỷ",33.809525,105.0,3.0,4.0,3.0,6,Carina Plaza,2,2.0,Đại Lộ Đông Tây,Phường 16,Quận 8,Tp Hồ Chí Minh,10.74429,106.65064,6.46,2025-12-22,NGUYỄN LÊ DIỄM TRANG,s,https://www.chotot.com/127003237.htm
"❤️BÁN CĂN GÓC ZEN TOWER, 3PN2WC FULL NỘI THẤT – THỚI AN, Q.12 💎SỔ HỒNG",3600000000,"3,6 tỷ",37.113403,97.0,,,,6,,3,2.0,Đường Quốc lộ 1,Phường Thới An,Quận 12,Tp Hồ Chí Minh,10.861778,106.659805,10.55,2025-12-22,Trần Toàn,s,https://www.chotot.com/128884417.htm
Bán nhanh căn hộ Topaz City giá tốt 70m2 full 3ty1,3100000000,"3,1 tỷ",41.89189,74.0,,,,5,Topaz City,2,2.0,Cao Lỗ,Phường 4,Quận 8,Tp Hồ Chí Minh,10.73845,106.67909,4.75,2025-12-22,Long,s,https://www.chotot.com/122687309.htm
🍒Bán căn hộ 3pn*Nhà decorFullNTCC mới*Cc BellezaQ7*Dt 124m2*6.6 tỷTL,6600000000,"6,6 tỷ",53.225807,124.0,4.0,3.0,1.0,6,Belleza Apartment,3,2.0,Phạm Hữu Lầu,Phường Phú Mỹ,Quận 7,Tp Hồ Chí Minh,10.70494,106.73567,8.76,2025-12-22,Nguyễn thu hà ,s,https://www.chotot.com/129834460.htm
Chuyển Nhượng Căn Hộ 187m2 Penthouse Chung Cư H2 DVCIQ4,13000000000,13 tỷ,69.518715,187.0,,,2.0,6,Cao Ốc Căn Hộ H2-Hoàng Diệu,5,4.0,Hoàng Diệu,Phường 8,Quận 4,Tp Hồ Chí Minh,10.76522,106.70734,1.38,2025-12-22,Bùi Thị Kim Hà,s,https://www.chotot.com/121747339.htm
🌟 CENTRAL 3 – VINHOMES TÂN CẢNG 🏢 2PN – 2WC | 77m² | Nội thất cao cấp,9800000000,"9,8 tỷ",127.27273,77.0,,,1.0,6,Vinhomes Central Park,2,2.0,Nguyễn Hữu Cảnh,Phường 22,Quận Bình Thạnh,Tp Hồ Chí Minh,10.79387,106.72032,2.97,2025-12-22,Tôn Bảo Nam,s,https://www.chotot.com/129685830.htm
"Căn hộ Green Town block B1 67m2/ 2pn2wc/ 2.7 tỷ Full NT, ht vay bank",2700000000,"2,7 tỷ",40.298508,67.0,,,3.0,5,Green Town Bình Tân,2,2.0,Bình Hưng Hòa B,Phường Bình Hưng Hoà B,Quận Bình Tân,Tp Hồ Chí Minh,10.79995,106.5832,13.09,2025-12-22,Tuấn Duy,s,https://www.chotot.com/128614745.htm
"Căn hộ Green Town đã có sổ block A, 120m2/ 3pn/ 3.7tỷ, ht vay bank",3700000000,"3,7 tỷ",30.833334,120.0,,,3.0,6,Green Town Bình Tân,3,2.0,Bình Hưng Hòa B,Phường Bình Hưng Hoà B,Quận Bình Tân,Tp Hồ Chí Minh,10.79995,106.5832,13.09,2025-12-22,Tuấn Duy,s,https://www.chotot.com/128999256.htm
"Căn hộ Green Town Bình Tân block B1 63m2/ 2pn/ 2.57-2.7 tỷ, ht vay 70%",2570000000,"2,57 tỷ",40.79365,63.0,,,3.0,5,Green Town Bình Tân,2,2.0,Bình Hưng Hòa B,Phường Bình Hưng Hoà B,Quận Bình Tân,Tp Hồ Chí Minh,10.79995,106.5832,13.09,2025-12-22,Tuấn Duy,s,https://www.chotot.com/128600683.htm
"Căn hộ Green Town block A đã có sổ 1pn1wc 45m/ 2.05tỷ, 98m/ 3.3tỷ",2050000000,"2,05 tỷ",45.555557,45.0,,,2.0,6,Green Town Bình Tân,2,1.0,Bình Hưng Hòa B,Phường Bình Hưng Hoà B,Quận Bình Tân,Tp Hồ Chí Minh,10.79995,106.5832,13.09,2025-12-22,Tuấn Duy,s,https://www.chotot.com/124347204.htm
"Bán căn officetel The Pegasuite 2 có sổ hồng, sở hữu lâu dài, có HĐT",1850000000,"1,85 tỷ",80.434784,23,,,3.0,6,The Pegasuite 2,1,1.0,Tạ Quang Bửu,Phường 6,Quận 8,Tp Hồ Chí Minh,10.73409,106.65466,6.81,2025-12-22,Liên,s,https://www.chotot.com/128595780.htm
🏯SIÊU PHẨM BÌNH TÂN - NGAY CHỢ BÌNH THÀNH - 4 TẦNG -75M2 - ĐƯỜNG XE TẢ,6000000000,6 tỷ,80.0,75,,,,6,,4,3.0,Đường Bình Thành,Phường Bình Hưng Hoà B,Quận Bình Tân,Tp Hồ Chí Minh,10.809379,106.589005,12.73,2025-12-22,Đông Nguyễn,s,https://www.chotot.com/129356170.htm
Căn hộ Green Town 2pn2wc 68m/ 2pn2wc/ 2.7tỷ block B1 nội thất cơ bản,2700000000,"2,7 tỷ",39.705883,68,,,3.0,5,Green Town Bình Tân,2,2.0,Bình Hưng Hòa B,Phường Bình Hưng Hoà B,Quận Bình Tân,Tp Hồ Chí Minh,10.79995,106.5832,13.09,2025-12-22,Nguyễn Tuấn Duy,s,https://www.chotot.com/120362526.htm
"Cần bán nhanh CH Saigon South Residences, Nhà Bè 2PN 71m2 full có ôxe.",6000000000,6 tỷ,84.50704,71,,5.0,1.0,6,Saigon South Residences,2,2.0,Nguyễn Hữu Thọ,Xã Phước Kiển,Huyện Nhà Bè,Tp Hồ Chí Minh,10.70387,106.71276,8.1,2025-12-22,Trần Hà BĐS,s,https://www.chotot.com/129833416.htm
"Căn hộ Ehome, Dương Đình Hội, Q.9 - 2,850 tỷ (2PN, 1WC, sổ hồng).",2850000000,"2,85 tỷ",48.305084,59,,,2.0,6,EHome 1,2,1.0,Dương Đình Hội,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.82118,106.77915,9.98,2025-12-22,Loan,s,https://www.chotot.com/129441457.htm
"Cần bán - cho thuê căn hộ Sky Garden, PMH,Q7 nhà đẹp, mới 100%",6550000000,"6,55 tỷ",92.253525,71,,,2.0,6,Sky Garden 3,3,2.0,Phạm Văn Nghị,Phường Tân Phong,Quận 7,Tp Hồ Chí Minh,10.72911,106.70673,5.22,2025-12-22,nghiem hang,s,https://www.chotot.com/129833349.htm
🏢 BÁN CÁC CĂN HỘ THE USEFUL APARTMENT – LẠC L QUÂN 2PN 1WC CHỈ TỪ 2TY6,2600000000,"2,6 tỷ",52.0,50,,,,2,,2,1.0,Đường Lạc Long Quân,Phường 9,Quận Tân Bình,Tp Hồ Chí Minh,10.775043,106.64826,5.7,2025-12-22,Đức Minh,s,https://www.chotot.com/129833346.htm
Chính Chủ Gửi Bán Akari City GĐ2 - 2PN1WC - Giá 4 tỷ - SHR - Nội Khu,4000000000,4 tỷ,65.57377,61,3.0,4.0,2.0,6,Akari City,2,1.0,Võ Văn Kiệt,Phường An Lạc,Quận Bình Tân,Tp Hồ Chí Minh,10.72262,106.61204,11.31,2025-12-22,Lê Khanh,s,https://www.chotot.com/129833299.htm
CĂN HỘ VEN SÔNG - CHỈ 700TR NHẬN NHÀ - KHẢI HOÀN PRIME,5222222222,"5,222 tỷ",65.27778,80,,6.0,1.0,2,Khải Hoàn Prime,2,,Lê Văn Lương,Xã Nhơn Đức,Huyện Nhà Bè,Tp Hồ Chí Minh,10.67503,106.69843,11.19,2025-12-22,Phú Lộc,s,https://www.chotot.com/129635899.htm
BÁN CĂN HỘ CAO ỐC H2 VỊ TRÍ MẶT TIỀN TRUNG TÂM QUẬN 4,5450000000,"5,45 tỷ",62.643677,87,,,2.0,6,Cao Ốc Căn Hộ H2-Hoàng Diệu,2,2.0,Hoàng Diệu,Phường 8,Quận 4,Tp Hồ Chí Minh,10.76522,106.70734,1.38,2025-12-22,Bùi Thị Kim Hà,s,https://www.chotot.com/129450435.htm
CẦN BÁN CĂN HỘ DIAMOND RIVERSIDE – GIÁ 2.8 TỶ,2800000000,"2,8 tỷ",38.356163,73,,,,5,Diamond Riverside (City Gate Towers 2),2,2.0,Võ Văn Kiệt,Phường 16,Quận 8,Tp Hồ Chí Minh,10.72855,106.62393,9.86,2025-12-22,Trương Hồng Ngà,s,https://www.chotot.com/128956555.htm
"Chính chủ bán căn 2pn+ 69m2 - 4,5 tỷ btp + 5% sổ Beverly Solari",4500000000,"4,5 tỷ",65.21739,69,,5.0,3.0,5,The Beverly Solari - Vinhomes Grand Park,2,2.0,Nguyễn Xiển,Phường Long Thạnh Mỹ (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.8454,106.81972,15.16,2025-12-22,Ngọc,s,https://www.chotot.com/129833086.htm
"Chính Chủ Gửi Bán Akari City GĐ2 - 2PN1WC - Giá 3,8 tỷ  - Ngoại Khu",3800000000,"3,8 tỷ",62.295082,61,4.0,3.0,,6,Akari City,2,1.0,Võ Văn Kiệt,Phường An Lạc,Quận Bình Tân,Tp Hồ Chí Minh,10.72262,106.61204,11.31,2025-12-22,Lê Khanh,s,https://www.chotot.com/129212857.htm
"Bán gấp căn hộ Oriental Plaza, 77m2(2PN), lầu cao view đẹp thoáng mát.",3600000000,"3,6 tỷ",46.753246,77,,6.0,,5,Oriental Plaza (Âu Cơ Tower),2,2.0,Âu Cơ,Phường Tân Thành,Quận Tân Phú,Tp Hồ Chí Minh,10.78972,106.64026,6.76,2025-12-22,Hằng,s,https://www.chotot.com/120929903.htm
"🍀CHÍNH CHỦ BÁN 2PN ALNATA CHỈ 6.6 TỶ NHẬN NHÀ MỚI, TẦNG ĐẸP, VIEW ĐẸP🍀",6600000000,"6,6 tỷ",77.64706,85,,,3.0,5,Celadon City,2,2.0,N1,Phường Sơn Kỳ,Quận Tân Phú,Tp Hồ Chí Minh,10.80384,106.61603,9.74,2025-12-22,Dương Đăng Phúc,s,https://www.chotot.com/129725747.htm
"Bán căn 2pn 2wc full nt cao cấp cc DreamHome Quận 8, cho thuê ngay 9tr",2690000000,"2,69 tỷ",43.387096,62,7.0,6.0,1.0,5,Dream Home Palace,2,2.0,Trịnh Quang Nghị,Phường 7,Quận 8,Tp Hồ Chí Minh,10.70677,106.62474,11.27,2025-12-22,Vũ Anh,s,https://www.chotot.com/129665202.htm
"💥 KHẢI HOÀN PRIME 2PN 55m²- Giá Tốt chỉ 4,x tỷ, Căn Hộ Resort Ven Sông",4444444440,"4,444 tỷ",80.80808,55,,,,6,Khải Hoàn Prime,2,,"Đường Lê Văn Lương, Nhà Bè, Hồ Chí Minh",Xã Nhơn Đức,Huyện Nhà Bè,Tp Hồ Chí Minh,10.67503,106.69843,11.19,2025-12-22,Phú Lộc,s,https://www.chotot.com/129639299.htm
CĂN HỘ DESTINO CENTRO- HỖ TRỢ VAY 0%LS+0% GỐC ĐẾN KHI NHẬN NHÀ,1600000000,"1,6 tỷ",25.396826,63,,,,5,,3,2.0,QL1A,Xã Bình Chánh,Huyện Bình Chánh,Tp Hồ Chí Minh,10.663042,106.567245,19.2,2025-12-22,Hiền,s,https://www.chotot.com/128596470.htm
Bán nhanh căn hộ Topaz Elite 78m2 2pn2wc giá 3ty550,3900000000,"3,9 tỷ",50.0,78,,,,5,Topaz Elite,2,,Cao Lỗ,Phường 4,Quận 8,Tp Hồ Chí Minh,10.73904,106.67821,4.74,2025-12-22,Long,s,https://www.chotot.com/122705799.htm
Bán căn hộ Duplex 117 m2,4200000000,"4,2 tỷ",35.897434,117,1.0,1.0,2.0,6,Chung cư Conic – Đình Khiêm,3,2.0,Nguyễn Văn Linh,Xã Phong Phú,Huyện Bình Chánh,Tp Hồ Chí Minh,10.70592,106.63772,10.35,2025-12-22,Nguyễn Hồng Trường,s,https://www.chotot.com/128580303.htm
Bán căn 2pn1wc 60m² chung cư Elhome Dương Đình Hội khu Khang Điền Q9,2800000000,"2,8 tỷ",45.901638,61,,,,6,EHome 1,2,1.0,Dương Đình Hội,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.82118,106.77915,9.98,2025-12-22,Thành Gỗ,s,https://www.chotot.com/129427513.htm
Chủ cần tiền bán gấp căn hộ 3pn 2wc 84m2. Đã có sổ hồng.,5200000000,"5,2 tỷ",61.904762,84,,,,6,The Privia,3,2.0,An Dương Vương,Phường An Lạc,Quận Bình Tân,Tp Hồ Chí Minh,10.72827,106.61888,10.35,2025-12-22,Võ Khải,s,https://www.chotot.com/129832418.htm
"Cao Ốc B Ngô gia tự ( 72m2 , thang máy,lầu 1 , 2pn 2wc, sổ hồng)",3900000000,"3,9 tỷ",54.166668,72,,,,6,,2,2.0,Đường Hòa Hảo,Phường 2,Quận 10,Tp Hồ Chí Minh,10.763021,106.673645,3.25,2025-12-22,Đức Vũ,s,https://www.chotot.com/129465886.htm
SỞ HỮU CĂN HỘ 2PN CHỈ 28TR/M2 TRONG THÁNG 11 - MUA NHÀ RINH QUÀ NGAY!,1300000000,"1,3 tỷ",28.88889,45,,,3.0,6,,2,2.0,Quốc Lộ 1A,Xã Bình Chánh,Huyện Bình Chánh,Tp Hồ Chí Minh,10.663042,106.567245,19.2,2025-12-22,Thảo Vy,s,https://www.chotot.com/128645902.htm
🔥 Căn hộ 2 PN mặt tiền Vành Đai 3 – Chỉ 3.2 tỷ | SỔ HỒNG TRAO TAY 🔥,3200000000,"3,2 tỷ",45.714287,70,,,,6,MT Eastmark City,2,2.0,Trường Lưu,Phường Long Trường (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.79732,106.82337,13.64,2025-12-22,Hao Nguyễn,s,https://www.chotot.com/129617203.htm
"Cần bán nhanh căn hộ Sky Garden, PMH,Q7 nhà mới, giá tốt",5580000000,"5,58 tỷ",78.59155,71,,,2.0,6,Sky Garden 1,2,1.0,Phạm Văn Nghị,Phường Tân Phong,Quận 7,Tp Hồ Chí Minh,10.72911,106.70673,5.22,2025-12-22,nghiem hang,s,https://www.chotot.com/128865990.htm
Cần bán nhanh căn 60m 2pn giá chỉ 3 tỷ 350,3350000000,"3,35 tỷ",55.833332,60,,,3.0,5,Topaz Elite,2,2.0,Cao Lỗ,Phường 4,Quận 8,Tp Hồ Chí Minh,10.73904,106.67821,4.74,2025-12-22,Minh Phước ,s,https://www.chotot.com/129323442.htm
CHÍNH CHỦ BÁN CĂN HỘ BABYLON 1PN – SỔ HỒNG RIÊNG,3150000000,"3,15 tỷ",63.0,50,,,,6,Investco Babylon,1,,Âu Cơ,Phường Tân Thành,Quận Tân Phú,Tp Hồ Chí Minh,10.79492,106.63832,7.11,2025-12-22,Vũ Supermen,s,https://www.chotot.com/129649202.htm
Bán Gấp Căn Hộ Tara Quận 8 86m2 3Pn 2wc Nhà sạch thoáng mát Giá 4.3tỷ,4300000000,"4,3 tỷ",50.0,86,,,,6,Tara Residence,3,2.0,Tạ Quang Bửu,Phường 6,Quận 8,Tp Hồ Chí Minh,10.73488,106.66169,6.2,2025-12-22,Ân Phạm ,s,https://www.chotot.com/129832082.htm
"Bán căn hộ CANTAVIL HOÀN CẦU , căn góc 154m2 3pn VIEW HỒ VĂN THÁNH",14000000000,14 tỷ,90.90909,154,,,2.0,6,Cantavil Hoàn Cầu,3,2.0,Điện Biên Phủ,Phường 22,Quận Bình Thạnh,Tp Hồ Chí Minh,10.79931,106.71768,3.24,2025-12-22,Nguyễn trần Tuấn ,s,https://www.chotot.com/129832007.htm
(MỚI) Bán chung cư Âu Cơ Tower 2 phòng ngủ có sổ hồng,3850000000,"3,85 tỷ",52.027027,74,,,3.0,6,Âu Cơ Tower Quận Tân Phú,2,2.0,Âu Cơ,Phường Tân Thành,Quận Tân Phú,Tp Hồ Chí Minh,10.79492,106.63832,7.11,2025-12-22,Phạm Vũ Phương,s,https://www.chotot.com/129831936.htm
"Bán căn hộ Babylon Âu Cơ, 50m2 1PN-1WC mới 100%, có Sổ Hồng, giá tốt",3200000000,"3,2 tỷ",64.0,50,,,1.0,6,Investco Babylon,1,1.0,Âu Cơ,Phường Tân Thành,Quận Tân Phú,Tp Hồ Chí Minh,10.79492,106.63832,7.11,2025-12-22,Hải Căn Hộ,s,https://www.chotot.com/129831834.htm
"Bán chung cư 1050 Chu Văn An, tầng cao , sổ hồng đầy đủ",3500000000,"3,5 tỷ",56.451614,62,,,4.0,6,Chung cư 1050 Chu Văn An,2,1.0,Phan Chu Trinh,Phường 12,Quận Bình Thạnh,Tp Hồ Chí Minh,10.80525,106.70295,3.3,2025-12-22,Nguyễn trần Tuấn ,s,https://www.chotot.com/129831824.htm
"Bán chung cư Ehome2, Phường Phước Long B,Thủ Đức. Khu Nam Long   Dt:57",2650000000,"2,65 tỷ",46.491226,57,,,,6,Ehome 2,2,1.0,Đỗ Xuân Hợp,Phường Phước Long B (Quận 9 cũ),Thành phố Thủ Đức,Tp Hồ Chí Minh,10.81635,106.77439,9.26,2025-12-22,Thành Gỗ,s,https://www.chotot.com/129791084.htm
"Bán căn hộ Mỹ Phước, Bùi Hữu Nghĩa, Quận Bình Thạnh, sổ hồng.",4580000000,"4,58 tỷ",55.18072,83,,,2.0,6,Chung cư Mỹ Phước,3,2.0,Bùi Hữu Nghĩa,Phường 2,Quận Bình Thạnh,Tp Hồ Chí Minh,10.8,106.70081,2.71,2025-12-22,Hằng,s,https://www.chotot.com/128666685.htm
BÁN CĂN HỘ CHUNG CƯ THE PRIVIA KHANG ĐIỀN BÌNH TÂN   - VIEW ĐẸP,3500000000,"3,5 tỷ",68.62745,51,,,3.0,6,,1,1.0,Đường An Dương Vương,Phường An Lạc,Quận Bình Tân,Tp Hồ Chí Minh,10.722386,106.61971,10.62,2025-12-22,Diễm Thúy,s,https://www.chotot.com/129831565.htm
"Chính Chủ Bán Chung Cư Bàu Cát 2, Lô A, 63m2 2PN - 2WC",3900000000,"3,9 tỷ",61.904762,63,,,,6,Bàu Cát 2,2,,Hồng Lạc,Phường 10,Quận Tân Bình,Tp Hồ Chí Minh,10.78738,106.6472,5.96,2025-12-22,Vũ Supermen,s,https://www.chotot.com/128632351.htm
